id,resumeId,companyName,title,startDate,endDate,location,responsibilities,technologies,createdAt,updatedAt
7,1,Rackspace Technology,Software Engineer,04/2022,Present,"Austin, TX","[""Developed and optimized React and Node.js applications with Material UI, CSS3, and SQL for cloud-monitoring and cost-optimization dashboards."",""Implemented REST and GraphQL APIs for data aggregation and analytics, improving API response performance by 30%."",""Automated infrastructure provisioning and configuration with Terraform and AWS CloudFormation."",""Built CI/CD pipelines using GitHub Actions and Docker, reducing deployment time by 50%."",""Collaborated with DevOps and product teams to implement logging, alerting, and monitoring using CloudWatch and Prometheus."",""Conducted code reviews, mentored interns, and enforced coding standards with ESLint.""]","[""React"",""Node.js"",""Material UI"",""SQL"",""REST"",""GraphQL"",""Terraform"",""AWS"",""Docker"",""GitHub Actions""]",2026-03-23 16:35:42.768,2026-03-23 16:35:42.768
8,1,HomeAway (Vrbo / Expedia Group),Web Developer,02/2020,03/2022,"Austin, TX","[""Built and maintained user-facing web interfaces using React, Redux, and TypeScript."",""Collaborated with backend engineers to design RESTful APIs and integrated booking, payment, and listing services."",""Implemented responsive UI components with Material UI adhering to WCAG accessibility standards."",""Migrated legacy AngularJS modules to React Hooks and Context API."",""Participated in CI/CD pipeline setup using Jenkins and Terraform."",""Implemented automated end-to-end testing in Cypress.""]","[""React"",""Redux"",""TypeScript"",""Material UI"",""Jenkins"",""Terraform"",""Cypress""]",2026-03-23 16:35:42.768,2026-03-23 16:35:42.768
9,1,Code Authority,Junior Software Developer,08/2020,01/2021,"Plano, TX","[""Developed full-stack web applications using Django, React, and JavaScript."",""Designed relational database schemas and built CRUD APIs with Python and PostgreSQL using SQLAlchemy."",""Deployed containerized applications using Docker and authored Bash automation scripts."",""Supported development of internal tools to automate QA workflows and improve build reliability.""]","[""Django"",""React"",""JavaScript"",""PostgreSQL"",""Docker"",""Python""]",2026-03-23 16:35:42.768,2026-03-23 16:35:42.768
36,4,Covetus,Senior Software Engineer,4/2024,11/2025,Remote,"[""Built and optimized RESTful APIs and microservices using Node.js and NestJS to support financial data integrations and improve system performance."",""Architected scalable backend services supporting financial web and mobile applications using Node.js."",""Developed reusable UI components with React and TailwindCSS to maintain a consistent design system across financial products."",""Implemented Python-based data processing services to automate analytics and reporting workflows."",""Collaborated with designers, product managers, and mobile engineers to deliver new features and improve product functionality."",""Containerized services with Docker and deployed applications within AWS infrastructure."",""Implemented CI/CD pipelines and automated testing to improve deployment reliability and release speed."",""Mentored engineers and led engineering discussions on architecture and product improvements.""]","[""React"",""Node.js"",""NestJS"",""Python"",""TailwindCSS"",""Docker"",""AWS"",""CI/CD""]",2026-03-27 16:12:44.264,2026-03-27 16:12:44.264
37,4,Wander,Senior Software Engineer,11/2021,01/2024,Remote,"[""Developed consumer-facing financial web applications using React, TypeScript, Python, and Django."",""Maintained frontend architecture and established code quality standards across the engineering team."",""Diagnosed and resolved operational issues to ensure reliability of mission-critical financial systems."",""Collaborated with business stakeholders to translate financial and regulatory requirements into technical solutions."",""Managed millions of financial transaction records using PostgreSQL while ensuring data integrity and compliance."",""Improved infrastructure performance and deployment pipelines to increase engineering delivery velocity."",""Built automated testing suites using Jest and Cypress to improve software quality."",""Mentored junior engineers and conducted code reviews to maintain engineering standards.""]","[""React"",""TypeScript"",""Python"",""Django"",""PostgreSQL"",""Jest"",""Cypress""]",2026-03-27 16:12:44.264,2026-03-27 16:12:44.264
38,4,Cvs Health,Full-stack Developer,4/2019,10/2021,Remote,"[""Built and maintained responsive real estate web applications using React, Python, and AWS components, enhancing the efficiency of digital home transactions."",""Designed and developed user-friendly web interfaces with Angular and React, improving the homebuying and selling experience for customers."",""Mentored and guided junior software engineers, fostering a culture of collaboration and continuous improvement through architecture discussions, design reviews, and code evaluations."",""Developed and optimized backend services with Django and GraphQL, improving data processing and integration with third-party real estate and financial APIs."",""Collaborated closely with product, operations, and data teams to identify opportunities for process improvement, streamlining workflows and enhancing automation in real estate transactions."",""Evaluated, integrated, and extended commercial products using REST web services and message queues, contributing to the scalability and efficiency of digital property valuation and transaction systems."",""Troubleshot and resolved software issues across multiple layers, including deployment, configuration, and both server-side and client-side challenges.""]","[""React"",""TypeScript"",""Python"",""Django"",""PostgreSQL"",""Jest"",""Cypress""]",2026-03-27 16:12:44.264,2026-03-27 16:12:44.264
39,4,StyleSheet,Full-stack Developer,06/2017,03/2019,Remote,"[""Worked mostly on the recommendation pipeline, the team’s key product, which significantly improved the company’s revenue from ads. Added new recommendation types, migrated to a new way of estimating revenue uplifts, simplified and optimized parts of it."",""Deployed and scaled applications on AWS, leveraging services like EC2, RDS, and Lambda to create a robust, secure, and scalable infrastructure."",""Spearheaded the development of an internal management system, enhancing operational efficiency and streamlining workflows across departments."",""Utilized React for building dynamic user interfaces, ensuring responsive and user-friendly web applications."",""Developed backend functionalities using Python and Django, enabling robust data processing and business logic implementation."",""Employed GitHub for version control and collaboration, enhancing code quality through effective team workflows."",""Designed and maintained responsive web layouts using HTML, CSS, and Material UI, ensuring a consistent look and feel across all platforms.""]","[""React"",""TypeScript"",""Python"",""Django"",""PostgreSQL"",""Jest"",""Cypress""]",2026-03-27 16:12:44.264,2026-03-27 16:12:44.264
40,4,Sosh,Full-stack Developer,09/2014,05/2017,Remote,"[""Worked mostly on the recommendation pipeline, the team’s key product, which significantly improved the company’s revenue from ads. Added new recommendation types, migrated to a new way of estimating revenue uplifts, simplified and optimized parts of it."",""Deployed and scaled applications on AWS, leveraging services like EC2, RDS, and Lambda to create a robust, secure, and scalable infrastructure."",""Spearheaded the development of an internal management system, enhancing operational efficiency and streamlining workflows across departments."",""Utilized React for building dynamic user interfaces, ensuring responsive and user-friendly web applications."",""Developed backend functionalities using Python and Django, enabling robust data processing and business logic implementation."",""Employed GitHub for version control and collaboration, enhancing code quality through effective team workflows."",""Designed and maintained responsive web layouts using HTML, CSS, and Material UI, ensuring a consistent look and feel across all platforms.""]","[""React"",""TypeScript"",""Python"",""Django"",""PostgreSQL"",""Jest"",""Cypress""]",2026-03-27 16:12:44.264,2026-03-27 16:12:44.264
49,5,EPIC,Senior Software Engineer,11/2023,10/2025,Remote,"[""Built and optimized RESTful APIs and microservices using Node.js and NestJS to support financial data integrations and improve system performance."",""Architected scalable backend services supporting financial web and mobile applications using Node.js."",""Developed reusable UI components with React and TailwindCSS to maintain a consistent design system across financial products."",""Implemented Python-based data processing services to automate analytics and reporting workflows."",""Collaborated with designers, product managers, and mobile engineers to deliver new features and improve product functionality."",""Containerized services with Docker and deployed applications within AWS infrastructure."",""Implemented CI/CD pipelines and automated testing to improve deployment reliability and release speed."",""Mentored engineers and led engineering discussions on architecture and product improvements.""]","[""React"",""Node.js"",""NestJS"",""Python"",""TailwindCSS"",""Docker"",""AWS"",""CI/CD""]",2026-03-27 16:24:09.83,2026-03-27 16:24:09.83
50,5,Paxos,Senior Software Engineer,06/2022,10/2023,Remote,"[""Developed consumer-facing financial web applications using React, TypeScript, Python, and Django."",""Maintained frontend architecture and established code quality standards across the engineering team."",""Diagnosed and resolved operational issues to ensure reliability of mission-critical financial systems."",""Collaborated with business stakeholders to translate financial and regulatory requirements into technical solutions."",""Managed millions of financial transaction records using PostgreSQL while ensuring data integrity and compliance."",""Improved infrastructure performance and deployment pipelines to increase engineering delivery velocity."",""Built automated testing suites using Jest and Cypress to improve software quality."",""Mentored junior engineers and conducted code reviews to maintain engineering standards.""]","[""React"",""TypeScript"",""Python"",""Django"",""PostgreSQL"",""Jest"",""Cypress""]",2026-03-27 16:24:09.83,2026-03-27 16:24:09.83
